Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
Zainou 'Deadeye' Guided Missile Precision GP-802,15,19,180.400.741,,,,,,,
Imperial Navy Heavy Energy Nosferatu,7,8,180.331.632,,,,,,,
Crossbow' Focused Medium Beam Laser I,8,11,180.283.232,,,,,,,
Capital Fusion Thruster Blueprint,9,13,180.267.857,,,,,,,
Solerium,15,43.697,180.188.126,,,,,,,
Gravimetric Sensor Cluster Blueprint,18,45,180.173.185,,,,,,,
Machariel Deathglow Hunters SKIN,19,22,180.108.325,,,,,,,
Capital Magnetometric Sensor Cluster,2,175,180.078.533,,,,,,,
Standup Signal Amplifier I Blueprint,3,5,179.990.000,,,,,,,
Gallente Listening Outpost,1,3,179.960.000,,,,,,,
Men's Genolution Combat Suit,16,19,179.957.732,,,,,,,
Small Hybrid Locus Coordinator II,46,163,179.955.864,,,,,,,
Sustained Shield Emitter Blueprint,15,48,179.914.339,,,,,,,
Multifrequency XL Blueprint,3,4,179.774.000,,,,,,,
Zainou 'Gypsy' Electronic Warfare EW-906,2,2,179.765.062,,,,,,,
Tungsten Carbide Armor Plate Blueprint,13,51,179.575.315,,,,,,,
Calm Exotic Filament,932,7.81,179.572.575,,,,,,,
Women's 'Spiderweb' Headwear (black),1,1,179.525.000,,,,,,,
Domination Small Artillery Battery,3,8,179.422.903,,,,,,,
Low-grade Amulet Gamma,3,3,179.369.765,,,,,,,
Guristas Nova XL Torpedo,8,9.066,179.288.151,,,,,,,
Arbitrator Ardishapur SKIN,2,2,179.078.367,,,,,,,
Standup Point Defense Battery I,1,1,178.555.556,,,,,,,
Medium 'Notos' Explosive Charge I,138,344,178.413.512,,,,,,,
Men's 'Farsight' Augmented Spectacles,4,4,178.365.533,,,,,,,
Seed' Micro Capacitor Booster I,6,7,178.325.370,,,,,,,
Improved Crash Booster Reaction Formula,2,3,178.178.864,,,,,,,
Magnate,274,407,178.150.321,,,,,,,
Improved Sooth Sayer Booster,7,24,177.774.368,,,,,,,
Catalyst Serpentis SKIN,1,1,177.600.000,,,,,,,
Core C-Type Explosive Armor Hardener,11,13,177.522.109,,,,,,,
Angel Small AutoCannon Battery,2,8,177.400.246,,,,,,,
Armageddon Navy Issue Sarum SKIN,10,11,177.320.642,,,,,,,
Quafe,144,4.722.788,177.021.409,,,,,,,
Men's Amarr Courtly Robe,3,3,176.892.455,,,,,,,
Regulated Compact Triple Neutron Blaster Cannon Blueprint,2,2,176.640.000,,,,,,,
Phantasm Aurora Universalis SKIN,3,3,176.596.559,,,,,,,
ElectroPunch Ultra S,12,26.659,176.577.373,,,,,,,
Capital Antimatter Reactor Unit Blueprint,9,12,176.505.000,,,,,,,
Glorification-5 'Devana' Filament,117,843,176.438.767,,,,,,,
Pacifier DED 'Master-at-Arms' Recruiter SKIN,7,7,176.430.306,,,,,,,
Pure Standard Mindflood Booster,5,1.68,176.283.637,,,,,,,
Paladin Biosecurity Responders SKIN,10,10,176.263.017,,,,,,,
Shadow Serpentis Crystal Tag,31,215,175.803.631,,,,,,,
Gravid 1MN Afterburner Mutaplasmid,24,67,175.763.231,,,,,,,
Large Drone Repair Augmentor II,2,3,175.522.778,,,,,,,
Gistii C-Type 5MN Microwarpdrive,5,5,175.463.568,,,,,,,
Devoter Purity of the Throne SKIN,2,4,175.446.700,,,,,,,
Raven Wiyrkomi SKIN,6,7,175.391.850,,,,,,,
Stiletto Dawn of Liberation SKIN,2,2,175.366.667,,,,,,,
Prospect Angel Industrial Livery SKIN,1,1,175.332.000,,,,,,,
Caldari Navy Captain Insignia I,134,1.48,175.102.362,,,,,,,
Pithi B-Type Small Remote Shield Booster,8,15,175.063.826,,,,,,,
Stasis Webification Battery Blueprint,4,4,175.000.000,,,,,,,
Reaper Starkmanir SKIN,1,1,175.000.000,,,,,,,
Capital Flex Armor Hardener I Blueprint,5,5,175.000.000,,,,,,,
Data Sheets,98,425.951,174.980.229,,,,,,,
Tetrimon Capacitor Booster I,279,1.047,174.955.931,,,,,,,
Mid-grade Halo Gamma,5,6,174.890.268,,,,,,,
Corpus B-Type Heavy Energy Nosferatu,12,14,174.886.021,,,,,,,
Arquebus' Heavy Beam Laser I,5,10,174.743.310,,,,,,,
Centum B-Type Medium Remote Capacitor Transmitter,10,15,174.634.457,,,,,,,
Dread Guristas Inferno Light Missile,5,1.749,174.538.418,,,,,,,
True Sanshas Standard L,6,24,174.472.180,,,,,,,
Hoarder,49,58,174.351.135,,,,,,,
Coercer Navy Issue Lavacore Imperial SKIN,2,2,174.287.336,,,,,,,
Capsule Aurora Universalis SKIN,2,2,174.168.472,,,,,,,
Unstable Heavy Energy Nosferatu Mutaplasmid,15,28,173.994.448,,,,,,,
Integrated' Praetor,22,143,173.957.123,,,,,,,
MesmerFlux Condenser Pack M,15,9.485,173.912.984,,,,,,,
Fernite Carbide Composite Armor Plate Blueprint,16,66,173.908.683,,,,,,,
Infiltrator I,448,3.874,173.895.707,,,,,,,
Modal Neutron Particle Accelerator I,123,465,173.719.796,,,,,,,
Large Drone Mining Augmentor I,26,37,173.251.851,,,,,,,
Sleeper Virtual Energizer,25,76,173.096.027,,,,,,,
Hecate Spirit SKIN,2,2,173.000.000,,,,,,,
Women's Nugoeihuvi Crew Jacket,1,1,172.900.000,,,,,,,
Salvage Drone I,485,3.036,172.826.260,,,,,,,
Nergal Metamateria Exotica SKIN,2,2,172.621.107,,,,,,,
Republic Fleet Large Armor Repairer,2,2,172.612.500,,,,,,,
Sleipnir Snowline Bladeracer SKIN,1,1,172.300.000,,,,,,,
Large Beam Laser Battery,7,12,172.139.200,,,,,,,
Guristas Inferno XL Torpedo,8,7.702,171.859.200,,,,,,,
Kaikka's Modified Explosive Shield Hardener,1,2,171.840.000,,,,,,,
Medium Remote Repair Augmentor I,35,103,171.803.794,,,,,,,
Infomorph Synchronizing,36,43,171.734.401,,,,,,,
Republic Fleet 280mm Howitzer Artillery,5,6,171.457.791,,,,,,,
Shadow Thorium Charge XL,3,19.716,171.390.924,,,,,,,
Purifier Purity of the Throne SKIN,2,2,171.386.978,,,,,,,
Amarr KIU-1 Nexus Chip,12,64,171.369.268,,,,,,,
Small 'Wolf' Shield Extender,12,14,171.344.480,,,,,,,
Nanite Interfacing,33,41,171.169.041,,,,,,,
Caldari Navy Uranium Charge M,92,253.01,171.161.111,,,,,,,
Medium Semiconductor Memory Cell I,111,206,171.155.504,,,,,,,
Capital Drone Scope Chip II,1,1,171.000.000,,,,,,,
Rare Moon Mining Crystal Type B I Blueprint,18,19,170.906.957,,,,,,,
Ishkur GalNet StreamCast Unit SKIN,5,5,170.795.064,,,,,,,
Corelum A-Type Explosive Energized Membrane,3,3,170.311.934,,,,,,,
Caldari Navy Thorium Charge S,99,566.772,170.270.480,,,,,,,
Xray XL Blueprint,5,6,169.995.000,,,,,,,
Standup Light Guided Bomb Blueprint,7,9,169.812.500,,,,,,,
Batch Compressed Condensed Scordite,9,43.08,169.783.864,,,,,,,
Small Focused Modulated Pulse Energy Beam I,141,443,169.762.592,,,,,,,
Occator Exoplanets Hunter SKIN,5,6,169.626.602,,,,,,,
Unrefined Fluxed Condensates Reaction Formula,7,15,169.430.655,,,,,,,
True Sansha Quad Beam Laser,8,19,169.171.269,,,,,,,
Capsule YC119 Capsuleer Day SKIN,9,10,169.054.708,,,,,,,
Dread Guristas Scourge Light Missile,10,5.273,168.974.383,,,,,,,
Active Shielding Charge,162,352.14,168.922.115,,,,,,,
Large Particle Dispersion Projector II,3,6,168.774.949,,,,,,,
Dragoon Sanguinary Savant SKIN,2,2,168.537.713,,,,,,,
Small 'Upir' Energy Nosferatu,5,5,168.393.445,,,,,,,
Talwar Deathglow Remnant SKIN,37,49,168.368.044,,,,,,,
Caldari Propaganda Broadcast Structure,3,11,168.288.048,,,,,,,
Small Kinetic Shield Reinforcer II,66,124,168.204.596,,,,,,,
Capital Cargohold Optimization I,6,13,168.170.530,,,,,,,
Barrage XL,18,84.773,167.960.000,,,,,,,
Low-grade Savior Alpha,1,1,167.940.816,,,,,,,
Tobacco,137,3.939.398,167.887.778,,,,,,,
Regulated Mega Neutron Phase Cannon I,101,440,167.864.000,,,,,,,
Type-D Restrained Inertial Stabilizers,682,1.979,167.841.439,,,,,,,
Coherent Asteroid Mining Crystal Type A II,69,917,167.828.680,,,,,,,
Ion Thruster Blueprint,17,39,167.658.273,,,,,,,
Corpus C-Type EM Armor Hardener,14,16,167.532.133,,,,,,,
Minmatar Starship Engineering,39,53,167.522.119,,,,,,,
Eifyr and Co. 'Rogue' Warp Drive Speed WS-608,12,32,167.424.381,,,,,,,
Dark Blood Tachyon Beam Laser,9,12,167.302.200,,,,,,,
Corax Blueprint,14,17,167.296.869,,,,,,,
Nyx Exoplanets Hunter SKIN,1,1,167.293.672,,,,,,,
Large Remote Shield Booster II,59,169,167.233.767,,,,,,,
Mjolnir Heavy Missile,412,3.497.759,167.203.328,,,,,,,
Ladar Sensor Cluster Blueprint,13,43,166.976.505,,,,,,,
Mega Modulated Pulse Energy Beam I,127,497,166.805.241,,,,,,,
Domination Medium Shield Booster,6,6,166.649.322,,,,,,,
Quantum Microprocessor Blueprint,17,38,166.643.347,,,,,,,
Legion Ladar ECM,2,2,166.595.373,,,,,,,
Radio XL Blueprint,4,5,166.450.000,,,,,,,
Skiff Rockbreaker Pioneers SKIN,1,1,166.450.000,,,,,,,
Typhoon Cryptic Mimesis SKIN,2,2,166.422.026,,,,,,,
Minmatar Propulsion Systems,28,31,166.244.075,,,,,,,
X5 Enduring Stasis Webifier,1.202,4.86,166.187.362,,,,,,,
Women's Capsuleer Elite XIX Hoodie,1,1,166.150.000,,,,,,,
Proteus Glacial Drift SKIN,3,3,166.093.976,,,,,,,
Vespa EC-600,281,2.431,166.042.065,,,,,,,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-902,16,35,165.992.086,,,,,,,
Sanshas Multifrequency XL,21,115,165.991.518,,,,,,,
Electronic Hardening Charge,88,172.787,165.680.838,,,,,,,
Manticore Aurora Universalis SKIN,4,4,165.536.618,,,,,,,
Inherent Implants 'Squire' Capacitor Systems Operation EO-602,12,18,165.425.343,,,,,,,
Structure Factory,2,14,165.411.296,,,,,,,
Caldari Drone Specialization,68,130,165.121.396,,,,,,,
Low-grade Hydra Alpha,1,1,165.100.000,,,,,,,
Common Moon Mining Crystal Type B I Blueprint,19,20,165.049.971,,,,,,,
Hurricane Fleet Issue Chainbreaker Khumaak SKIN,1,1,165.000.000,,,,,,,
Polarized 425mm AutoCannon,15,53,164.628.557,,,,,,,
1400mm Howitzer Artillery I Blueprint,5,9,164.595.690,,,,,,,
Scan Acquisition Array II,100,142,164.373.401,,,,,,,
Imperial Navy Small EMP Smartbomb,10,12,164.301.870,,,,,,,
Gallente Beta Nexus Chip,14,40,164.280.302,,,,,,,
Dread Guristas Spatial Destabilization Battery,5,8,164.159.675,,,,,,,
Myrmidon Aurora Universalis SKIN,9,12,164.003.357,,,,,,,
Capital Energy Locus Coordinator I Blueprint,2,3,164.000.000,,,,,,,
Plasma Pulse Generator,36,14.998,163.757.465,,,,,,,
Zainou 'Deadeye' Large Hybrid Turret LH-1005,1,1,163.437.500,,,,,,,
Minmatar Core Systems,26,30,163.421.377,,,,,,,
Station Container,526,1.559,163.366.767,,,,,,,
Legion Biosecurity Responders SKIN,8,8,163.357.931,,,,,,,
Capital Nanoelectrical Microprocessor Blueprint,10,12,163.312.500,,,,,,,
Dread Guristas Mjolnir Heavy Missile,2,906,163.143.508,,,,,,,
Women's 'Poise' Pants (black),2,2,163.090.000,,,,,,,
Corelum A-Type EM Energized Membrane,6,6,162.940.707,,,,,,,
Null XL,12,41.689,162.931.325,,,,,,,
Core A-Type EM Armor Hardener,2,3,162.871.200,,,,,,,
Ammatar Navy Multispectrum Energized Membrane,1,2,162.809.630,,,,,,,
High-grade Spur Delta,3,3,162.781.479,,,,,,,
Hyperion Inner Zone Shipping SKIN,3,3,162.496.001,,,,,,,
Warp Scrambling Battery,12,19,162.462.527,,,,,,,
"Armageddon ""Blaze"" Squadron SKIN",1,1,162.450.000,,,,,,,
Particle Accelerator Unit Blueprint,15,32,162.147.112,,,,,,,
Syndicate Reactor Control Unit,1,1,162.000.000,,,,,,,
Dark Blood Standard M,7,21,161.912.615,,,,,,,
Abyssal Asteroid Mining Crystal Type B II,10,63,161.795.223,,,,,,,
Retriever Sansha Industrial Livery SKIN,5,5,161.746.101,,,,,,,
Tesseract Capacitor Unit Blueprint,10,44,161.243.607,,,,,,,
Heavy J5b Enduring Warp Scrambler,2,2,161.158.016,,,,,,,
Micro Circuit,845,158.786,161.151.016,,,,,,,
Unrefined Fernite Alloy Reaction Formula,10,14,161.116.871,,,,,,,
Improved Mindflood Booster Reaction Formula,2,4,161.061.829,,,,,,,
Current Pump,320,39.274,161.044.604,,,,,,,
High-grade Grail Alpha,7,8,161.002.422,,,,,,,
Astral Mining Inc. Strong Box,3,6,160.727.060,,,,,,,
Gnosis Ironblood SKIN,9,10,160.478.099,,,,,,,
Small Shield Booster II,310,460,160.460.394,,,,,,,
Gravid Capital Energy Neutralizer Mutaplasmid,1,1,160.458.143,,,,,,,
Active Shielding Charge Blueprint,10,12,160.421.650,,,,,,,
Imperial Navy Small Energy Neutralizer,3,3,160.372.334,,,,,,,
Exceptional Moon Mining Crystal Type A I Blueprint,22,22,160.344.461,,,,,,,
Low-grade Crystal Alpha,4,5,160.323.354,,,,,,,
Scourge Auto-Targeting Heavy Missile I,213,1.605.920,160.295.637,,,,,,,
Batch Compressed Pellucid Crokite,1,369,160.173.789,,,,,,,
Small Processor Overclocking Unit I,822,2.341,160.059.599,,,,,,,
Republic Fleet Medium Proton Smartbomb,1,1,160.000.000,,,,,,,
Brokara's Modified Thermal Armor Hardener,1,1,160.000.000,,,,,,,
Capital EM Shield Reinforcer I Blueprint,4,4,159.997.600,,,,,,,
Nova Torpedo Blueprint,17,18,159.614.355,,,,,,,
Hoarder Blue Tiger SKIN,1,1,159.531.250,,,,,,,
Metal Scraps,4.616,221.694,159.432.475,,,,,,,
Hyperion Capsuleer Day XV SKIN,4,4,159.192.041,,,,,,,
10000MN Y-S8 Compact Afterburner Blueprint,3,4,159.188.889,,,,,,,
Precursor Battlecruiser,83,161,158.906.749,,,,,,,
Cyclone Fleet Issue Snowline Bladeracer SKIN,15,17,158.798.748,,,,,,,
Bomb Launcher II,34,61,158.577.902,,,,,,,
Zainou 'Gypsy' Long Range Targeting LT-804,1,2,158.551.625,,,,,,,
Radar Sensor Cluster Blueprint,12,42,158.544.688,,,,,,,
Women's 'Hephaestus' Shoes (gray/orange),1,1,158.350.000,,,,,,,
Batch Compressed Lustrous Hedbergite,2,1.065,158.323.952,,,,,,,
200mm Light 'Scout' Autocannon I,176,469,158.239.926,,,,,,,
Tayra Blueprint,16,49,158.036.299,,,,,,,
Nuclear Pulse Generator Blueprint,14,38,158.033.363,,,,,,,
Capital Drone Speed Augmentor I Blueprint,2,3,158.000.000,,,,,,,
Compressed Ducinium,28,47.652,157.973.679,,,,,,,
True Sansha Small Capacitor Booster,5,5,157.966.324,,,,,,,
Astero Yoiul Star SKIN,1,1,157.832.500,,,,,,,
Imperial Navy Gamma M,46,595,157.787.055,,,,,,,
Low-grade Amulet Alpha,4,4,157.770.463,,,,,,,
Bowhead Gallente Industrial Livery SKIN,1,1,157.666.667,,,,,,,
Small Energy Burst Aerator II,66,203,157.657.728,,,,,,,
Hurricane Snowline Bladeracer SKIN,1,1,157.600.000,,,,,,,
X-Large 'Locomotive' Shield Booster,6,7,157.585.392,,,,,,,
High-grade Jackal Alpha,5,6,157.533.409,,,,,,,
Minmatar Offensive Systems,28,31,157.475.987,,,,,,,
Plasma Pulse Generator Blueprint,11,28,157.398.792,,,,,,,
StrikeSnipe Ultra S,9,18.095,157.303.959,,,,,,,
Eifyr and Co. 'Alchemist' Biology BY-805,7,9,157.278.028,,,,,,,
Mid-grade Talisman Delta,9,9,157.074.112,,,,,,,
Medium Beam Laser Specialization,23,42,157.050.177,,,,,,,
Border-15 'Pochven' Filament,136,499,157.022.114,,,,,,,
Target Illumination Burst Projector Blueprint,2,3,156.995.000,,,,,,,
Medium Higgs Anchor I,111,310,156.959.377,,,,,,,
Republic Fleet Proton L,43,203.829,156.756.411,,,,,,,
Women's 'Semiotique Superluminal' Pants,3,3,156.697.000,,,,,,,
Caldari Navy Tungsten Charge L,30,120.702,156.629.975,,,,,,,
Self-Assembling Nanolattice,5,22,156.606.633,,,,,,,
Astero SOE Fire Cell,4,5,156.563.938,,,,,,,
Medium Core Defense Operational Solidifier I,72,112,156.505.670,,,,,,,
Zainou 'Beancounter' Industry BX-802,7,7,156.480.411,,,,,,,
Khanid Navy Cap Recharger,3,4,156.422.600,,,,,,,
Imperial Navy Small Armor Repairer,12,14,156.307.546,,,,,,,
Takmahl Astral Treatment,22,32,156.233.650,,,,,,,
Vexor Navy Issue Spirit SKIN,4,4,156.197.812,,,,,,,
Capital Energy Discharge Elutriation I,5,10,156.093.750,,,,,,,
Prototype Compact Kinetic Armor Hardener I,227,1.378,156.026.283,,,,,,,
Women's 'Semiotique Superluminal' Shades,3,4,156.022.864,,,,,,,
Retriever Glacial Drift SKIN,4,4,156.005.813,,,,,,,
Leopard Krusual SKIN,1,1,155.900.000,,,,,,,
Megathron Valimor Legacy SKIN,4,4,155.797.917,,,,,,,
Caldari Navy Thorium Charge L,38,193.178,155.781.845,,,,,,,
Zainou 'Deadeye' Large Hybrid Turret LH-1004,1,1,155.676.651,,,,,,,
Transport Relay Research Encryption Key,6,2.274,155.672.597,,,,,,,
Cladistic-15 'Krai Veles' Filament,57,572,155.629.212,,,,,,,
Rorqual Sansha Industrial Livery SKIN,2,2,155.529.979,,,,,,,
Porpoise Sansha Industrial Livery SKIN,5,7,155.488.187,,,,,,,
Ammatar Navy Colonel Insignia II,15,228,155.477.912,,,,,,,
Medium Powergrid Subroutine Maximizer II,8,9,155.403.919,,,,,,,
Caldari Offensive Systems,26,32,155.335.617,,,,,,,
Surgical Warp Disrupt Probe,44,2.036,155.206.521,,,,,,,
Ammatar Navy Heavy Energy Nosferatu,3,5,155.181.749,,,,,,,
Variegated Asteroid Mining Crystal Type B I Blueprint,21,29,155.166.221,,,,,,,
Nanoelectrical Microprocessor Blueprint,12,47,155.101.680,,,,,,,
Capital Linear Shield Emitter Blueprint,8,11,155.000.000,,,,,,,
Offensive Subsystem Technology,10,11,155.000.000,,,,,,,
25000mm Steel Plates I Blueprint,7,7,154.911.750,,,,,,,
Vexor Navy Issue Warp Convergence SKIN,4,4,154.803.517,,,,,,,
Condor Guristas SKIN,4,5,154.628.374,,,,,,,
Fusion Reactor Unit Blueprint,16,41,154.626.212,,,,,,,
Caldari Propulsion Systems,25,30,154.451.924,,,,,,,
Ahremen's Modified EM Energized Membrane,1,1,154.400.000,,,,,,,
Ahremen's Modified Explosive Energized Membrane,1,1,154.400.000,,,,,,,
Stork Guristas SKIN,2,2,154.377.806,,,,,,,
Barbican Element,2,16,154.372.595,,,,,,,
Inferno Torpedo,154,420.501,154.135.530,,,,,,,
Republic Fleet 200mm Autocannon,4,7,154.126.707,,,,,,,
Maelstrom Chainbreaker Khumaak SKIN,1,1,154.100.000,,,,,,,
Domination Phased Plasma M,10,5.122,154.083.283,,,,,,,
Vargur Biosecurity Responders SKIN,8,11,154.031.256,,,,,,,
Talwar Blueprint,9,16,154.000.754,,,,,,,
Pith A-Type Kinetic Shield Hardener,9,11,153.989.230,,,,,,,
Tachyon Beam Laser I,11,54,153.986.718,,,,,,,
Standup XL Cruise Missile,9,17.752,153.976.197,,,,,,,
Explosive Shield Hardener II,81,219,153.959.137,,,,,,,
Wolf Republic Fleet SKIN,1,1,153.950.000,,,,,,,
Loki Exoplanets Hunter SKIN,1,1,153.933.008,,,,,,,
Integrated' Warrior,64,432,153.788.190,,,,,,,
Graviton Reactor Unit Blueprint,17,38,153.772.091,,,,,,,
Capital Singularity Radiation Convertor,8,2.438,153.771.713,,,,,,,
Imicus,216,312,153.663.943,,,,,,,
Small Cargohold Optimization I,277,2.28,153.462.379,,,,,,,
Scalar Capacitor Unit Blueprint,18,43,153.382.634,,,,,,,
Uranium Charge XL Blueprint,5,12,153.263.542,,,,,,,
Inferno Heavy Missile,375,2.471.114,153.090.255,,,,,,,
Providence Purity of the Throne SKIN,1,1,153.080.000,,,,,,,
Kestrel Union Day Executive SKIN,4,4,153.074.200,,,,,,,
Scorpion Navy Issue Forward 4-4 SKIN,4,4,153.007.878,,,,,,,
Retribution Ironblood SKIN,11,12,152.914.887,,,,,,,
Eifyr and Co. 'Alchemist' Neurotoxin Recovery NR-1003,18,109,152.883.589,,,,,,,
Retriever Caldari Industrial Livery SKIN,5,6,152.804.019,,,,,,,
Ishtar Spirit SKIN,2,2,152.795.000,,,,,,,
Caldari Navy Uranium Charge L,39,161.107,152.775.217,,,,,,,
Variegated Asteroid Mining Crystal Type B I,27,242,152.773.341,,,,,,,
Bowhead Guristas Industrial Livery SKIN,1,1,152.600.000,,,,,,,
Procurer Blood Raider Industrial Livery SKIN,2,2,152.437.750,,,,,,,
XL Cruise Missiles,7,12,152.433.713,,,,,,,
Inherent Implants 'Lancer' Medium Energy Turret ME-804,3,3,152.226.154,,,,,,,
Ammatar Navy Medium Energy Neutralizer,2,2,152.156.765,,,,,,,
Photon Scattering Array Blueprint,3,3,152.155.000,,,,,,,
Selynne's Modified Multispectrum Coating,1,1,152.000.000,,,,,,,
Proteus Exoplanets Hunter SKIN,1,1,151.995.556,,,,,,,
Experimental Enduring Kinetic Armor Hardener I,216,1.325,151.812.232,,,,,,,
Warp Disruption Field Generator I,15,24,151.605.507,,,,,,,
Domination Rapid Heavy Missile Launcher,5,8,151.602.141,,,,,,,
Shadow Large Blaster Battery,2,2,151.552.498,,,,,,,
Focused Warp Disruption Script,55,271,151.487.387,,,,,,,
Men's Triglavian Survival Suit (Perun),2,2,151.333.000,,,,,,,
Decayed 100MN Afterburner Mutaplasmid,53,139,151.125.053,,,,,,,
Punisher Sarum SKIN,40,61,151.061.022,,,,,,,
Porpoise Gallente Industrial Livery SKIN,4,4,150.983.058,,,,,,,
True Sanshas Gamma L,6,23,150.966.926,,,,,,,
Medium EM Shield Reinforcer I,627,1.403,150.798.153,,,,,,,
Talwar,84,162,150.592.148,,,,,,,
Mega Afocal Maser I,124,439,150.551.142,,,,,,,
Brutix Warp Convergence SKIN,4,5,150.320.576,,,,,,,
Nugoehuvi Synth Blue Pill Booster,21,87,150.119.671,,,,,,,
Zainou 'Deadeye' Target Navigation Prediction TN-904,2,2,150.003.000,,,,,,,
Women's 'Sterling' Dress Blouse (olive),2,2,150.001.103,,,,,,,
Capital Processor Overclocking Unit I Blueprint,3,3,150.000.000,,,,,,,
Cruise Missile Battery Blueprint,3,3,150.000.000,,,,,,,
Capital Polycarbon Engine Housing I Blueprint,2,3,150.000.000,,,,,,,
Capital Hydraulic Bay Thrusters I Blueprint,2,3,150.000.000,,,,,,,
Megathron Strategic Materiel Defender SKIN,1,1,150.000.000,,,,,,,
Capital Hybrid Metastasis Adjuster I Blueprint,2,3,150.000.000,,,,,,,
Vindicator Spirit SKIN,1,1,150.000.000,,,,,,,
Explosion Dampening Array Blueprint,3,3,150.000.000,,,,,,,
Capital Kinetic Shield Reinforcer I Blueprint,2,4,150.000.000,,,,,,,
Capital Hybrid Discharge Elutriation I Blueprint,2,3,150.000.000,,,,,,,
Warp Disruption Battery Blueprint,3,3,150.000.000,,,,,,,
Enforcer DED 'Master-at-Arms' Recruiter SKIN,1,1,150.000.000,,,,,,,
1000 Aurum Token,1,1,150.000.000,,,,,,,
Cormorant Steel Cardinal SKIN,1,1,150.000.000,,,,,,,
Sensor Dampening Battery Blueprint,3,3,150.000.000,,,,,,,
Claw Liberation Games SKIN,1,1,150.000.000,,,,,,,
Capital Thermal Shield Reinforcer I Blueprint,2,4,150.000.000,,,,,,,
Capital Hybrid Locus Coordinator I Blueprint,2,3,150.000.000,,,,,,,
Capital Semiconductor Memory Cell I Blueprint,2,3,150.000.000,,,,,,,
Capital Hybrid Collision Accelerator I Blueprint,2,3,150.000.000,,,,,,,
Capital Signal Disruption Amplifier I Blueprint,2,3,150.000.000,,,,,,,
Reaper Sebiestor SKIN,1,1,149.950.000,,,,,,,
Coercer Triglavian Twilight SKIN,1,1,149.950.000,,,,,,,
Medium Pulse Laser Specialization,25,37,149.945.431,,,,,,,
Inferno Cruise Missile,200,946.798,149.941.874,,,,,,,
Breacher Brutor SKIN,1,1,149.900.000,,,,,,,
Small Particle Dispersion Projector II,30,93,149.793.171,,,,,,,
Aurora S,235,3.459,149.757.952,,,,,,,
Batch Compressed Dense Veldspar,8,155.031,149.662.053,,,,,,,
Gnosis Icecloud Investigators SKIN,7,8,149.649.958,,,,,,,
Dread Guristas 75mm Railgun,6,12,149.626.238,,,,,,,
Large Artillery Specialization,16,20,149.568.121,,,,,,,
Glycerine' Shield Boost Amplifier,8,9,149.527.588,,,,,,,
Damavik Blackfire Steel SKIN,1,1,149.442.857,,,,,,,
Scourge Rage Rocket,397,2.861.530,149.440.692,,,,,,,
Maller Blood Raiders SKIN,35,53,149.158.575,,,,,,,
Thermonuclear Trigger Unit Blueprint,12,38,149.151.877,,,,,,,
Prototype 'Arbalest' Heavy Assault Missile Launcher I,241,1.025,149.123.257,,,,,,,
Prophecy Capsuleer Day XVII SKIN,2,2,148.956.667,,,,,,,
Capital Knave Scoped Energy Nosferatu Blueprint,2,2,148.900.000,,,,,,,
Medium Hybrid Burst Aerator I,32,55,148.832.006,,,,,,,
Standup Heavy Guided Bomb Blueprint,6,8,148.728.395,,,,,,,
Corpus A-Type EM Armor Hardener,6,7,148.711.495,,,,,,,
Capital Laser Focusing Crystals Blueprint,6,9,148.636.364,,,,,,,
Optimal Range Disruption Script,392,2.201,148.611.570,,,,,,,
Jaguar Dawn of Liberation SKIN,1,1,148.566.667,,,,,,,
Explosion Dampening Array,10,17,148.375.626,,,,,,,
Dragoon Blueprint,13,14,148.304.006,,,,,,,
Cruise Missile Specialization,19,23,148.292.494,,,,,,,
Gallente Starship Engineering,38,53,148.066.784,,,,,,,
Rare Moon Mining Crystal Type A I Blueprint,22,22,148.061.339,,,,,,,
Caldari Battlecruiser,54,73,147.963.734,,,,,,,
True Sansha Small EMP Smartbomb,13,19,147.900.544,,,,,,,
Scorpion Navy Issue Exoplanets Hunter SKIN,1,2,147.896.207,,,,,,,
Fulleroferrocene Power Conduits,5,34,147.824.851,,,,,,,
Light Armor Maintenance Bot II,48,261,147.796.546,,,,,,,
Low-grade Rapture Alpha,2,2,147.747.600,,,,,,,
Standup Cenobite I,2,5,147.628.750,,,,,,,
Polarized 200mm AutoCannon,24,93,147.602.253,,,,,,,
Massive Scordite,500,22.674.404,147.439.007,,,,,,,
Low-grade Halo Delta,4,4,147.276.815,,,,,,,
Harvest Nosferatu Booster IV,36,54,147.264.177,,,,,,,
Shadow Serpentis Explosive Armor Hardener,49,69,147.144.310,,,,,,,
EMP XL Blueprint,5,10,147.125.059,,,,,,,
Brutix Navy Issue Luminaire Rising SKIN,5,5,147.084.611,,,,,,,
Inherent Implants 'Lancer' Medium Energy Turret ME-803,11,13,146.933.930,,,,,,,
Capital Kinetic Armor Reinforcer I,2,2,146.816.667,,,,,,,
Cladistic-15 'Krai Perun' Filament,70,592,146.759.106,,,,,,,
Large Pulse Laser Battery,5,11,146.730.218,,,,,,,
Women's 'Impress' Skirt (black wax),1,1,146.700.000,,,,,,,
Guristas Crystal Tag,37,127,146.684.833,,,,,,,
Brutix Capsuleer Day XVII SKIN,2,3,146.480.000,,,,,,,
