Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Catalyst Quafe SKIN,1,1,164.950.000,
Small Warhead Rigor Catalyst II,37,74,164.713.386,
Small Core Defense Operational Solidifier II,15,24,164.689.975,
Minmatar Starship Engineering,45,62,164.489.915,
Variegated Asteroid Mining Crystal Type B I,27,224,164.453.833,
Low-grade Snake Epsilon,1,1,164.450.000,
Abyssal Asteroid Mining Crystal Type B II,9,65,164.363.612,
Caldari Drone Specialization,63,93,164.358.375,
Laser Focusing Crystals Blueprint,10,29,164.315.633,
High-grade Talon Beta,4,5,164.289.998,
Women's Capsuleer Elite XIX Hoodie,2,2,164.245.950,
Superconducting Magnetometric Amplifier,2,50,164.218.531,
Raysere's Modified EM Armor Hardener,1,1,164.200.000,
Medium Warp Core Optimizer II,8,9,164.116.525,
Electrolytic Capacitor Unit Blueprint,18,45,164.055.391,
Mid-grade Edge Alpha,2,2,164.000.000,
Large Stasis Drone Augmentor II,2,4,163.983.000,
Redeemer Versus Blueforce SKIN,3,3,163.787.451,
Rokh Permaband - Wrecking Machine SKIN,8,13,163.516.762,
Photon Microprocessor Blueprint,17,48,163.513.219,
Large Precursor Weapon,64,119,163.430.226,
Rare Moon Mining Crystal Type B I Blueprint,14,15,163.376.250,
Tobacco,115,2.877.539,163.262.178,
Eifyr and Co. 'Rogue' Navigation NN-604,2,2,163.177.347,
Brutix Capsuleer Day XVII SKIN,2,2,162.990.000,
Porpoise Amarr Industrial Livery SKIN,5,5,162.835.708,
Nova XL Cruise Missile,6,42.322,162.791.460,
Bifrost Aurora Universalis SKIN,47,89,162.773.608,
Heavy Mutadaptive Compact Remote Armor Repairer,8,17,162.534.539,
Corpus B-Type Kinetic Armor Hardener,9,13,162.527.875,
Brokara's Modified Reactor Control Unit,1,1,162.500.000,
Zainou 'Beancounter' Research RR-603,5,5,161.720.931,
Women's Grand Prix Racing Jacket,4,4,161.669.866,
Salvage Drone I,482,3.305,161.495.949,
Bomb Launcher II,22,40,161.410.047,
Confessor Cold Iron SKIN,7,7,161.382.424,
Nugoehuvi Synth Blue Pill Booster,18,77,161.188.500,
Heron Navy Issue Awakening YC125 SKIN,2,2,161.010.000,
Domination EMP M,10,5.686,160.826.240,
Cynosural Field Generator I Blueprint,5,5,160.784.780,
Mercoxit Asteroid Mining Crystal Type C I Blueprint,9,9,160.714.395,
Zainou 'Deadeye' Sharpshooter ST-903,27,53,160.665.689,
Dual 250mm Railgun II,12,55,160.506.283,
Blood Gamma XL,3,11,160.266.723,
Bomb Deployment,18,22,160.204.401,
Batch Compressed Pellucid Crokite,1,448,160.173.789,
Capital Explosive Shield Reinforcer II,2,2,160.168.800,
Men's 'Hyper' Racing Jacket,1,1,160.149.844,
Stabber Fleet Issue Warp Convergence SKIN,4,4,160.146.347,
10000MN Y-S8 Compact Afterburner Blueprint,4,6,160.000.000,
X5 Enduring Stasis Webifier,1.089,6.39,159.777.406,
Mid-grade Edge Beta,2,2,159.530.000,
Revelation Purity of the Throne SKIN,1,1,159.494.844,
Current Pump,335,18.645,159.468.953,
Structure Laboratory,3,5,159.334.997,
280mm Prototype Siege Cannon,92,243,159.297.197,
Large Remote Shield Booster II,59,147,159.295.907,
Vagabond Justice SKIN,5,5,159.251.115,
Active Shielding Charge,152,338.854,159.190.216,
Kryos Blueprint,13,23,159.169.288,
Magnate,238,306,159.150.791,
Batch Compressed Stable Veldspar,3,8.313,159.149.929,
Paladin Glacial Drift SKIN,7,7,159.149.643,
Capital Trimark Armor Pump I Blueprint,3,3,159.139.198,
Caldari Navy Uranium Charge L,42,218.523,159.063.980,
Scythe Liberation Games SKIN,1,1,159.000.000,
Metal Scraps,4.272,188.42,158.641.205,
Federation Navy Thorium Charge M,36,432.162,158.584.218,
Batch Compressed Crokite,3,192,158.535.661,
Compressed Ducinium,41,62.47,158.519.507,
Hurricane Fleet Issue Exoplanets Hunter SKIN,5,5,158.450.934,
Cyclone Capsuleer Day XVII SKIN,2,2,158.406.000,
1200mm Heavy 'Jolt' Artillery I,1,1,158.357.500,
Unrefined Platinum Technite Reaction Formula,13,21,158.329.252,
Scourge Auto-Targeting Heavy Missile I,236,2.229.857,158.220.884,
Caldari Navy Uranium Charge M,62,365.16,158.199.976,
Eris Inner Zone Vanguard SKIN,1,1,158.100.000,
Republic Fleet Proton L,35,157.746,158.059.991,
Augoror Spirit SKIN,3,3,157.972.166,
Reinforced Metallofullerene Alloys,5,183,157.946.452,
Mjolnir Heavy Missile,429,3.912.134,157.935.395,
Porpoise Glacial Drift SKIN,12,13,157.925.591,
Expired Tetrimon Capacitor Booster I,57,372,157.877.428,
Focused Modulated Pulse Energy Beam I,36,78,157.665.187,
Synthetic Hull Conversion Inertial Stabilizers,2,2,157.550.916,
Republic Fleet 280mm Howitzer Artillery,5,6,157.539.228,
Mjolnir Cruise Missile Blueprint,16,26,157.377.830,
Talwar Deathglow Remnant SKIN,4,6,157.204.596,
Ducia Foundry Strong Box,4,6,157.196.595,
Micro Circuit,879,128.211,157.078.037,
Deflection Shield Emitter Blueprint,16,39,157.006.212,
Target Illumination Burst Projector Blueprint,3,3,157.000.000,
Catalyst InterBus SKIN,2,2,156.990.000,
Goal-Orienting Neurolink Stabilizer,12,690,156.936.394,
Unrefined Fernite Alloy Reaction Formula,13,17,156.897.749,
Women's 'Structure' Skirt (red leather),1,1,156.810.000,
Large Energy Collision Accelerator II,10,12,156.539.994,
Thukker Mix Strong Box,2,4,156.433.845,
Pure Standard Mindflood Booster,4,8.356,156.369.070,
Modal Enduring Dual Giga Pulse Laser,2,2,156.240.000,
Combat Scanner Probe I Blueprint,19,31,156.224.207,
Women's 'Hover' Tights (opaque black),2,2,156.198.178,
Sleeper Virtual Energizer,20,48,156.134.809,
Korako's Modified Drone Control Unit,6,45,155.968.759,
Gist B-Type Thermal Shield Hardener,7,7,155.882.699,
Large Tracking Diagnostic Subroutines II,3,8,155.863.336,
Radar Sensor Cluster Blueprint,8,30,155.827.410,
Eifyr and Co. 'Rogue' Warp Drive Speed WS-608,13,32,155.666.522,
Caracal Deathglow Remnant SKIN,10,15,155.647.030,
75mm Gatling Rail II,74,376,155.628.610,
Capital Drone Speed Augmentor I,4,5,155.627.592,
Joust' Heavy Pulse Laser I,3,8,155.597.229,
Strong Drop Booster Reaction Formula,1,2,155.524.722,
Capital Scalar Capacitor Unit Blueprint,7,12,155.514.706,
Focused Anode Pulse Particle Stream I,47,91,155.392.080,
Scan Pinpointing Array II,102,156,155.377.918,
Medium Drone Control Range Augmentor II,10,11,155.281.715,
Uncommon Moon Mining Crystal Type C II,1,90,155.268.459,
Synth Mindflood Booster Reaction Formula,8,52,155.159.692,
Vindicator Spirit SKIN,1,1,155.150.000,
Capital Drone Speed Augmentor I Blueprint,3,3,155.000.000,
Particle Accelerator Unit Blueprint,15,29,154.913.153,
Quafe,88,2.411.465,154.901.454,
Wightstorm Rapture Booster II,203,556,154.845.811,
Archon Aurora Universalis SKIN,34,56,154.827.821,
Succubus Luminae Polaris SKIN,1,1,154.687.867,
Pilgrim Purity of the Throne SKIN,2,2,154.596.000,
Capsuleer Day XVI Sunesis & SKIN Crate,4,5,154.118.489,
Praxis Versus Redforce SKIN,4,4,154.027.976,
Standup Antaeus II,1,2,153.980.000,
Low-grade Crystal Alpha,3,3,153.918.082,
Modal Neutron Particle Accelerator I,122,403,153.866.268,
Capital Singularity Radiation Convertor,8,1.974,153.771.713,
Ion Thruster Blueprint,16,30,153.718.780,
Black Market 'Valdimar' Drone Navigation DN-701,7,7,153.640.209,
Capital Low Friction Nozzle Joints I Blueprint,3,3,153.333.333,
Goru's Shuttle,18,31,153.324.834,
Small Cargohold Optimization I,247,1.902,153.203.316,
Large Projectile Locus Coordinator II,2,2,153.070.000,
Wasp I Blueprint,22,33,153.051.560,
Energy Neutralization Burst Projector Blueprint,3,3,153.000.000,
Unstable Medium Shield Booster Mutaplasmid,28,47,152.942.415,
Guristas Torpedo Battery,8,15,152.850.000,
Aurora S,220,3.187,152.837.828,
Capital Magpulse Thruster Blueprint,6,14,152.500.000,
Retriever Minmatar Industrial Livery SKIN,3,3,152.365.200,
Anode Scoped Dual Giga Pulse Laser,2,4,152.173.332,
Women's 'Blades' Headwear (jade),1,1,152.150.000,
Hawk Exoplanets Hunter SKIN,6,7,152.132.874,
Zainou 'Snapshot' Rockets RD-903,8,10,152.092.516,
Low-grade Amulet Delta,1,1,152.000.000,
Hyperion Capsuleer Day XV SKIN,2,2,151.965.329,
Minokawa Matigu Seabeast SKIN,1,1,151.942.500,
Kinetic Shield Amplifier II,93,164,151.850.111,
High-grade Halo Alpha,4,4,151.834.331,
Ubiquitous Moon Mining Crystal Type B I Blueprint,17,18,151.788.642,
Capital Nanoelectrical Microprocessor Blueprint,7,12,151.666.667,
Pulse Shield Emitter Blueprint,15,41,151.353.849,
Unstable Heavy Energy Nosferatu Mutaplasmid,19,28,151.209.863,
Large Gravity Capacitor Upgrade II,2,3,151.155.467,
Osprey Navy Issue Exoplanets Hunter SKIN,3,4,150.891.830,
Armageddon Navy Issue Hunter's Quiver SKIN,2,2,150.387.500,
Unrefined Vanadium Hafnite Reaction Formula,13,17,150.364.286,
Men's SOE Enhanced Biosecurity Mask,2,3,150.302.319,
Ferox Lai Dai SKIN,1,1,150.200.000,
Pithi C-Type Small Shield Booster,2,2,150.178.589,
Selynne's Modified EM Coating,1,1,150.165.000,
Dread Guristas Antimatter Charge S,6,4.543,150.129.517,
Integrated' Hornet,60,329,150.099.739,
220mm Medium 'Scout' Autocannon I,35,79,150.021.700,
Procurer Glacial Drift SKIN,10,11,150.003.137,
Capital Higgs Anchor I Blueprint,3,3,150.000.000,
Drug Lab,1,1,150.000.000,
Capital Targeting System Subcontroller I Blueprint,3,3,150.000.000,
Capital Projectile Collision Accelerator I Blueprint,3,3,150.000.000,
Capital Warhead Calefaction Catalyst I Blueprint,3,3,150.000.000,
Capital Fusion Reactor Unit Blueprint,5,11,150.000.000,
Capital Polycarbon Engine Housing I Blueprint,3,3,150.000.000,
Leopard Republic Fleet SKIN,1,1,150.000.000,
Selynne's Modified Thermal Armor Hardener,1,1,150.000.000,
Vexor InterBus SKIN,1,1,150.000.000,
Covetor Radioactives Reclamation SKIN,1,1,150.000.000,
Capital Warhead Flare Catalyst I Blueprint,3,3,150.000.000,
Crow Steel Cardinal SKIN,1,1,150.000.000,
Women's 'Gunner' Jacket (ORE),1,1,150.000.000,
Capital Projectile Burst Aerator I Blueprint,3,3,150.000.000,
Capital Sentry Damage Augmentor I Blueprint,3,3,150.000.000,
Capital Liquid Cooled Electronics I Blueprint,3,3,150.000.000,
Serpentis Sensor Dampening Battery,2,4,149.925.000,
Tactical Capsuleer Recloner,1,1,149.900.000,
Arazu Serpentis SKIN,1,1,149.900.000,
Sansha Small Pulse Laser Battery,2,4,149.822.917,
Improved Blue Pill Booster Reaction Formula,3,4,149.798.813,
X-Large 'Locomotive' Shield Booster,6,7,149.785.749,
Catalyst Navy Issue Luminaire Rising SKIN,7,8,149.756.799,
Batch Compressed Dense Veldspar,7,97.248,149.677.053,
Small Processor Overclocking Unit I,721,1.932,149.663.503,
Expired Harvest Nosferatu Booster IV,14,28,149.598.409,
Domination Phased Plasma M,9,6.182,149.451.144,
High-grade Spur Beta,4,4,149.405.312,
Sleipnir Republic Fleet SKIN,1,1,149.350.000,
Unrefined Hexite Reaction Formula,14,16,149.285.714,
Intensive Reprocessing Array,1,1,149.235.139,
Typhoon Fleet Issue Dawn of Liberation SKIN,1,1,149.100.000,
250mm Prototype Gauss Gun,287,1.119,149.095.446,
Corelum B-Type Thermal Energized Membrane,11,14,149.087.595,
Dread Guristas Omnidirectional Tracking Enhancer,21,24,149.063.337,
Quad Mega Pulse Laser I Blueprint,3,4,149.000.000,
Brokara's Modified Explosive Armor Hardener,1,1,149.000.000,
Warp Disruption Field Generator I,12,24,148.966.878,
Complex Asteroid Mining Crystal Type C I Blueprint,13,13,148.908.485,
Tuvan's Modified Thermal Coating,1,1,148.893.336,
Inferno Heavy Missile,379,1.918.100,148.868.061,
Unrefined Caesarium Cadmide Reaction Formula,13,15,148.748.614,
Electronic Hardening Charge,70,116.528,148.490.234,
Low-grade Grail Gamma,3,6,148.458.114,
Scythe Combat Medic Section SKIN,5,8,148.372.953,
Standup Missile Guidance Enhancer I,9,10,148.327.658,
Heavy Stasis Grappler I Blueprint,9,11,148.294.196,
Micro Jump Field Generator,148,296,148.258.451,
Mega Afocal Maser I,143,375,148.223.963,
Decayed 100MN Afterburner Mutaplasmid,54,152,148.190.355,
Abyssal Asteroid Mining Crystal Type B I Blueprint,15,17,148.120.370,
Zainou 'Snapshot' Heavy Assault Missiles AM-704,1,1,147.898.222,
Prospect Guristas Industrial Livery SKIN,2,2,147.869.747,
Medium EM Shield Reinforcer I,574,1.321,147.839.108,
Phantasm Aurora Universalis SKIN,10,11,147.830.078,
Minmatar UUA Nexus Chip,15,70,147.402.428,
Bouncer I Blueprint,7,8,147.395.879,
Type-D Restrained Inertial Stabilizers,683,1.893,147.085.654,
Standard Sooth Sayer Booster,15,91,147.024.355,
Republic Fleet Rocket Launcher,1,3,146.925.000,
Navy Cap Booster 100,79,5.792,146.916.758,
Unrefined Solerium Reaction Formula,13,15,146.867.243,
Intact Weapon Subroutines,9,20,146.836.006,
Zainou 'Gnome' Weapon Upgrades WU-1004,2,2,146.672.857,
Neutron Blaster Cannon I Blueprint,10,19,146.570.771,
Black Market 'Valdimar' Drone Sharpshooting DS-801,4,4,146.472.393,
Medium Remote Repair Augmentor I,31,105,146.312.836,
Dread Guristas Antimatter Charge M,4,3.326,146.254.133,
Women's 'Saikadori' Facial Augmentation,11,21,146.203.300,
Synthetic Hull Conversion Overdrive Injector,6,7,146.104.479,
Federation Navy Remote Tracking Computer,11,13,146.094.425,
Zainou 'Beancounter' Science SC-803,5,5,146.025.906,
Shadow Warp Disruption Battery,3,4,145.944.166,
Experimental Enduring Kinetic Armor Hardener I,216,1.193,145.804.360,
Large Engine Thermal Shielding II,5,5,145.801.812,
Deathless Circle Insurgents Loyalty Token,3,385,145.727.500,
Mid-grade Halo Gamma,4,4,145.710.111,
Ubiquitous Moon Mining Crystal Type B I,19,168,145.703.291,
Capital Hybrid Collision Accelerator I,1,1,145.666.667,
Augoror Navy Issue Purity of the Throne SKIN,2,2,145.653.333,
Quest Survey Probe I,22,523,145.562.868,
Prototype Compact Kinetic Armor Hardener I,224,1.194,145.539.903,
Raysere's Modified Kinetic Energized Membrane,1,1,145.500.000,
Probe,188,268,145.493.443,
Ice Mining Laser I,82,165,145.397.655,
Caldari Battlecruiser,45,53,145.137.875,
Exceptional Moon Mining Crystal Type B I Blueprint,11,12,145.046.472,
Imperial Navy Ultraviolet M,44,416,145.002.223,
Punisher Tash-Murkon SKIN,1,1,145.000.000,
Thon's Modified Kinetic Shield Amplifier,1,1,144.833.333,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-902,18,44,144.794.566,
Skiff Sansha Industrial Livery SKIN,6,6,144.679.895,
Prophecy Malagrin Marshlight SKIN,9,16,144.550.422,
Minmatar Shuttle Nefantar SKIN,1,1,144.500.000,
Plasma Pulse Generator,34,11.995,144.367.644,
Shadow Sensor Dampening Battery,2,6,144.268.850,
Capital Radar Sensor Cluster Blueprint,7,11,144.241.071,
Capital S95a Scoped Remote Shield Booster,3,4,144.178.977,
Core Probe Launcher I,2.06,3.918,144.123.544,
Coercer Ace of Podhunters SKIN,1,1,143.950.000,
Standup Termite II,1,2,143.900.000,
Federation Navy Heavy Neutron Blaster,2,3,143.800.000,
Zainou 'Gypsy' Long Range Targeting LT-802,5,10,143.744.251,
Avatar Purity of the Throne SKIN,1,1,143.670.083,
Scourge Rage Rocket,336,3.050.013,143.477.430,
Phantasm Luminae Polaris SKIN,1,1,143.400.000,
Empire Control,13,14,143.355.462,
Basic' Damage Control,11,15,143.338.974,
Legion Glacial Drift SKIN,9,9,143.287.430,
Dread Guristas Ion Field Projection Battery,2,7,143.283.556,
Cladistic-15 'Krai Perun' Filament,66,563,143.177.924,
Vespa EC-600,262,2.699,143.150.445,
Vespa I,507,5.814,143.121.019,
Women's 'Impress' Skirt (black leather),3,3,143.109.161,
Covetor Blood Raider Industrial Livery SKIN,3,4,142.925.556,
Small Hyperspatial Velocity Optimizer I,449,1.463,142.790.624,
Mining Director,15,68,142.787.040,
Inherent Implants 'Lancer' Medium Energy Turret ME-803,10,12,142.756.352,
Unrefined Crystallite Alloy Reaction Formula,13,14,142.702.463,
Small Explosive Shield Reinforcer II,35,80,142.674.451,
Ammatar Navy Heavy Beam Laser,2,2,142.535.001,
Spike XL,4,21.785,142.467.627,
Capital Hybrid Locus Coordinator I,1,2,142.350.000,
Noose' Cruise Missile Launcher,5,18,142.336.668,
Condor,172,353,142.278.477,
Inherent Implants 'Noble' Hull Upgrades HG-1002,12,14,142.228.217,
Eifyr and Co. 'Rogue' Fuel Conservation FC-805,1,1,142.183.644,
Ninazu Frontier Safeguarder SKIN,5,5,142.126.419,
Capital Sustained Shield Emitter Blueprint,6,12,142.083.333,
Deimos Spirit SKIN,4,4,142.039.058,
Arbitrator Purity of the Throne SKIN,1,1,142.000.000,
Dominix Spirit SKIN,4,4,141.984.636,
Venture Amarr Industrial Livery SKIN,12,14,141.867.881,
280mm 'Scout' Artillery I,93,249,141.856.841,
Caldari Navy Captain Insignia II,83,3.25,141.840.730,
Ubiquitous Moon Mining Crystal Type A I Blueprint,22,23,141.800.640,
Capital Graviton Reactor Unit Blueprint,7,14,141.785.714,
Light Armor Maintenance Bot II,43,318,141.778.434,
Antimatter Reactor Unit Blueprint,9,28,141.688.945,
Dread Guristas Mjolnir Light Missile,5,2.59,141.653.242,
Rapid Heavy Missile Launcher I,35,161,141.624.167,
Ammatar Navy Colonel Insignia II,16,212,141.564.918,
Shadow Medium Blaster Battery,4,6,141.545.000,
1MN Y-S8 Compact Afterburner,1.655,4.506,141.437.111,
XL Torpedo Battery,5,7,141.332.909,
Inferno Torpedo,154,432.856,141.228.798,
Nuclear Pulse Generator,21,9.15,141.205.903,
Mammoth Blueprint,6,10,141.130.428,
Capital Indefatigable Enduring Emergency Hull Energizer,2,3,140.964.400,
Data Analyzer I,1.255,2.028,140.959.029,
Khanid Navy Warp Scrambler,1,1,140.935.000,
Prophecy Navy Issue Ironblood SKIN,3,3,140.902.611,
Ashimmu Aurora Universalis SKIN,10,11,140.877.030,
Prototype Compact Thermal Armor Hardener I,239,1.272,140.757.921,
Avatar Kador SKIN,1,1,140.752.828,
Iteron Mark V Lodestrike SKIN,7,7,140.530.002,
Advanced Medium Ship Assembly Array,2,2,140.440.556,
Atron,207,402,140.235.017,
Low-grade Savior Delta,1,1,140.194.444,
Zainou 'Snapshot' Light Missiles LM-902,9,15,140.161.026,
Caldari Navy Thermal Shield Hardener,7,9,140.087.333,
Allotek Industries Strong Box,1,1,140.000.000,
Claw Liberation Games SKIN,1,1,140.000.000,
Catalyst Inner Zone Shipping SKIN,2,2,139.985.300,
Dark Blood Standard M,6,19,139.967.394,
Prophecy Navy Issue Crown and Swords SKIN,23,29,139.907.745,
Vherokior Tribe Strong Box,2,2,139.900.000,
Antimatter Charge XL,12,107.574,139.866.927,
10MN Monopropellant Enduring Afterburner,916,3.782,139.797.271,
Moros Valimor Legacy SKIN,2,3,139.431.481,
Inherent Implants 'Lancer' Large Energy Turret LE-1004,1,1,139.370.400,
Gravid 1MN Afterburner Mutaplasmid,28,78,139.303.280,
Coherent Asteroid Mining Crystal Type A II,62,766,139.243.084,
Complex Asteroid Mining Crystal Type A I Blueprint,21,21,139.208.716,
Corpus C-Type EM Armor Hardener,10,12,139.174.285,
Tuvan's Modified Thermal Energized Membrane,1,1,139.100.000,
Brynn's Modified Kinetic Energized Membrane,1,1,138.950.000,
Scout Scoped Quad 800mm Repeating Cannon,3,5,138.923.400,
Superconductor Rails Blueprint,15,33,138.764.049,
Gist A-Type Explosive Shield Hardener,8,8,138.587.133,
Basic' Shield Power Relay,5,6,138.362.249,
Capital Hybrid Burst Aerator I,1,1,138.166.667,
Zealot Purity of the Throne SKIN,1,1,138.092.408,
Standup Dromi I,2,7,137.984.640,
Scourge Torpedo,181,539.351,137.947.028,
"GDN-9 ""Nightstalker"" Combat Goggles",2,2,137.890.768,
Praxis Versus Blueforce SKIN,4,4,137.741.495,
Small Remote Shield Booster II,47,160,137.738.744,
Slaver Hound,45,38.648,137.545.088,
Dread Guristas Mjolnir Torpedo,3,1.377,137.509.891,
Women's 'Avenue' Shirt (gray camo),2,2,137.375.222,
Hornet EC-300,1.356,18.416,137.259.545,
Shadow Serpentis Small Armor Repairer,17,19,136.858.067,
Fernite Carbide Composite Armor Plate Blueprint,16,46,136.856.642,
Dominix Ruby Sungrazer SKIN,1,1,136.850.000,
Barren Command Center,264,1.904,136.683.932,
Admixti Mutanite,64,115.27,136.661.484,
Small Energy Burst Aerator II,59,170,136.600.908,
Basic' Capacitor Power Relay,9,13,136.564.405,
Men's 'Liberator' Beret (Minmatar Republic),1,1,136.516.667,
Medium Higgs Anchor I,120,329,136.500.928,
Light Shield Maintenance Bot II,29,150,136.449.352,
Obelisk Exoplanets Hunter SKIN,1,1,136.447.266,
Massive Scordite,384,15.064.255,136.426.735,
Selynne's Modified EM Armor Hardener,1,1,136.400.000,
Medium Shield Extender I,919,3.259,136.388.312,
Harbinger GalNet StreamCast Unit SKIN,7,10,136.347.452,
Corpum B-Type EM Energized Membrane,11,14,136.338.722,
Basic' Capacitor Flux Coil,4,6,136.263.295,
Tempest Scope Syndication YC122 SKIN,2,2,136.224.597,
Polarized 425mm AutoCannon,13,39,136.199.840,
Caldari Navy Iridium Charge L,43,216.57,136.153.710,
Gleam XL,7,40,135.948.088,
XL Torpedo Launcher I Blueprint,2,3,135.928.470,
Capital Linear Shield Emitter Blueprint,7,12,135.833.333,
Imperial Navy Microwave L,36,360,135.782.984,
Gnosis Icecloud Investigators SKIN,13,15,135.749.622,
Amarr Propulsion Systems,21,24,135.689.035,
Gamma XL Blueprint,4,7,135.460.000,
Men's Rubedo Richesse Pants,5,5,135.395.686,
Men's 'Hephaestus' Shirt (blue),1,1,135.306.667,
Deep Core Mining Laser I,30,175,135.293.812,
Nuclear Reactor Unit Blueprint,16,41,135.290.280,
Dread Guristas Scourge Heavy Assault Missile,5,4.167,135.278.868,
Arbalest Compact XL Cruise Missile Launcher,1,3,135.270.000,
Border-15 'Pochven' Filament,113,368,135.186.494,
Large Warp Core Optimizer II,3,4,135.163.500,
Small Memetic Algorithm Bank II,54,76,135.110.214,
Ballista' Tachyon Beam Laser I,1,1,135.110.111,
Dairy Products,110,1.438.372,135.082.929,
Standup Ballistic Control System I Blueprint,2,2,135.000.000,
Men's 'Semiotique Sports' Pants,1,1,134.977.778,
Warp Scrambler I,138,1.925,134.950.948,
Core B-Type EM Armor Hardener,6,7,134.943.606,
Station Container,538,1.649,134.881.225,
Experimental Enduring Thermal Armor Hardener I,229,1.222,134.848.650,
Ion Siege Blaster I Blueprint,3,3,134.664.612,
Uncommon Moon Mining Crystal Type A I Blueprint,16,17,134.615.240,
Triple Neutron Blaster Cannon I Blueprint,3,3,134.400.000,
Large Hybrid Ambit Extension I,6,9,134.387.063,
Setele's Modified Thermal Coating,1,1,134.300.000,
Heron Blueprint,30,39,134.066.979,
Small Explosive Armor Reinforcer I,235,444,134.004.751,
Warfare Computation Core Blueprint,10,14,133.969.172,
Rare Moon Mining Crystal Type A I Blueprint,17,18,133.960.937,
Centum B-Type Medium Remote Capacitor Transmitter,10,14,133.958.138,
Men's EDENCOM 'Reliant' Beret,4,4,133.929.555,
Large Ancillary Remote Shield Booster,35,62,133.796.698,
Nuclear Pulse Generator Blueprint,14,41,133.753.205,
Gila IGC SKIN,1,1,133.700.000,
Abaddon Purity of the Throne SKIN,1,1,133.625.000,
Obelisk Ruby Sungrazer SKIN,2,2,133.618.775,
Prototype 'Arbalest' Heavy Assault Missile Launcher I,229,932,133.611.417,
Unrefined Titanium Chromide Reaction Formula,12,13,133.593.731,
Men's 'Impact' Jacket (graphite),1,1,133.582.000,
Amarr Defensive Systems,23,26,133.467.129,
Caldari Navy Thorium Charge L,30,193.61,133.436.155,
True Sansha Medium Pulse Laser Battery,2,4,133.358.194,
Batch Compressed Dark Ochre,3,406,133.341.899,
Revelation Crown and Swords SKIN,1,1,133.333.333,
Expired Tetrimon Precision Booster III,23,139,133.170.369,
Type-D Restrained Nanofiber Structure,595,1.739,133.098.285,
Logistics Frigates,19,24,132.843.860,
Large AutoCannon Battery,6,11,132.786.908,
Minmatar Offensive Systems,25,26,132.688.610,
Retriever Blood Raider Industrial Livery SKIN,1,1,132.663.193,
Mega Beam Laser I Blueprint,9,10,132.588.409,
Brynn's Modified EM Coating,1,1,132.500.000,
Providence Exoplanets Hunter SKIN,1,1,132.295.150,
Republic Fleet Multispectrum Coating,4,6,132.282.169,
Uncommon Moon Mining Crystal Type B I Blueprint,12,13,132.264.000,
Capital Tungsten Carbide Armor Plate Blueprint,7,11,132.187.500,
Glorification-1 'Devana' Filament,429,5.651,132.093.784,
Charon Glacial Drift SKIN,7,7,131.992.218,
Large Artillery Battery,5,9,131.939.775,
Procurer Caldari Industrial Livery SKIN,2,2,131.921.978,
Large Beam Laser Battery,3,9,131.898.750,
Medium Processor Overclocking Unit I,312,667,131.726.647,
Capital Plasma Thruster,3,410,131.706.300,
Procurer Guristas Industrial Livery SKIN,2,2,131.666.667,
Anshar Exoplanets Hunter SKIN,2,2,131.658.198,
720mm 'Jolt' Artillery I,6,12,131.633.132,
Low-grade Jackal Epsilon,3,4,131.598.178,
Women's Ace of Podhunters Jacket,3,3,131.485.000,
Small Pulse Laser Battery,8,47,131.448.317,
Common Moon Mining Crystal Type B I Blueprint,12,13,131.358.857,
Energy Neutralizing Battery,13,25,131.292.599,
Quad 800mm Repeating Cannon I Blueprint,3,3,131.222.222,
Hooligan' Heavy Ion Blaster I,9,19,131.152.051,
Hexa 2500mm Repeating Cannon I Blueprint,3,3,131.064.464,
Abyssal Asteroid Mining Crystal Type A I Blueprint,17,18,130.859.049,
Capital Gravimetric Sensor Cluster Blueprint,7,12,130.833.333,
Ishtar Glacial Drift SKIN,11,12,130.743.800,
425mm Medium 'Scout' Autocannon I,100,367,130.670.016,
Retriever Caldari Industrial Livery SKIN,3,3,130.598.457,
Prototype Precise Quad 800mm Repeating Cannon,2,6,130.540.601,
XL Cruise Missile Launcher I Blueprint,2,2,130.491.331,
Brutix AIR Laboratories SKIN,1,1,130.356.000,
Capital Remote Capacitor Transmitter I Blueprint,3,4,130.321.520,
Javelin M,254,1.689.834,130.269.001,
Fullerene Intercalated Sheets Blueprint,10,12,130.181.793,
Shadow Serpentis Heavy Ion Blaster,9,14,130.147.783,
Wightstorm Vitarka Booster IV,53,75,130.125.048,
Gravid Medium Energy Neutralizer Mutaplasmid,26,57,130.120.863,
Raysere's Modified Thermal Energized Membrane,1,1,130.000.000,
Guristas Standup Module Blueprint Armored Cache,1,1,130.000.000,
Vizan's Modified Explosive Coating,1,1,130.000.000,
Capital Remote Armor Repairer II,1,1,130.000.000,
Inferno XL Torpedo,6,48.77,129.895.287,
Integrated' Praetor,20,98,129.819.615,
Exequror Navy Issue Glacial Drift SKIN,10,11,129.810.699,
Domination Kinetic Shield Amplifier,15,23,129.804.801,
Coercer Lavacore Imperial SKIN,3,3,129.799.297,
Imicus,225,305,129.782.078,
Stellar Transmuter Research Encryption Key,6,1.062,129.730.042,
Linear Shield Emitter Blueprint,9,33,129.680.325,
Guristas Cruise Missile Battery,3,5,129.640.000,
Barrage S,342,2.259.991,129.485.551,
Naga Luminaire Zenith SKIN,1,1,129.348.959,
